crop_name,ph,moisture,n,p,k,temperature,rainfall,humidity,latitude,longitude,season,year,yield_achieved,soil_type
Pomegranate,6.9,74.18,29.26,14.06,56.57,20.14,110.89,59.82,14.818876,79.723375,zaid,2022,12852.46,peat
Mothbeans,6.13,25.08,12.83,33.13,16.26,21.47,20.26,59.54,22.20791,85.388159,kharif,2020,599.77,sandy
Pigeon Pea,6.6,86.9,24.15,24.08,34.87,31.38,743.59,51.34,20.78211,80.57248,kharif,2022,1222.12,loamy
Sugarcane,6.83,74.72,239.66,42.63,143.26,24.65,1374.03,76.14,31.186726,75.502807,zaid,2022,76122.36,sandy
Groundnut,6.13,83.07,23.03,27.45,59.29,34.89,674.58,58.81,11.557561,79.131694,rabi,2022,2065.59,loamy
Rice,7.96,53.65,89.62,13.3,25.95,23.52,879.23,64.34,24.439453,76.667653,kharif,2020,1896.62,chalky
Wheat,7.13,52.27,162.42,41.68,53.58,22.14,623.5,72.64,20.66379,80.925166,rabi,2023,3283.86,peat
Apple,6.11,61.7,28.78,192.11,258.36,23.91,135.29,60.08,11.436329,76.307067,kharif,2021,14896.07,sandy
Coconut,3.78,59.4,11.42,12.61,21.5,20.33,105.16,64.61,22.573205,75.81273,zaid,2022,8449.16,silt
Grapes,6.22,93.98,28.59,188.23,295.62,31.6,79.45,73.25,23.228861,75.611292,rabi,2022,23556.49,clay
Chilli,7.4,47.25,89.92,25.3,66.32,28.0,329.04,31.26,14.49512,78.494975,year_round,2020,8203.63,peat
Mothbeans,6.52,92.5,27.36,43.04,29.12,27.92,40.08,50.16,31.902278,77.697623,kharif,2021,944.68,silt
Watermelon,7.31,56.01,31.0,12.79,35.24,19.49,30.0,64.18,22.386087,79.761859,zaid,2023,20294.6,clay
Mango,6.79,94.93,20.78,24.27,37.99,34.98,123.9,79.12,20.4487,81.420228,kharif,2020,11224.62,peat
Grapes,5.78,67.1,29.41,164.6,285.24,26.71,97.03,65.65,21.318048,87.409721,kharif,2022,18254.83,sandy
Papaya,4.53,52.98,33.54,29.13,39.22,23.67,109.52,54.81,23.592642,81.727871,kharif,2021,22682.33,sandy
Apple,7.39,52.99,15.09,109.16,153.59,19.04,71.14,35.89,22.734364,89.985814,rabi,2022,10708.85,loamy
Apple,7.35,47.62,16.82,85.08,104.89,18.7,88.18,57.89,29.171954,74.301296,rabi,2021,11857.59,loamy
Jute,7.96,51.68,53.3,29.51,26.72,23.63,121.09,61.97,22.717764,73.651437,kharif,2020,1859.46,peat
Chickpea,7.65,51.89,45.88,66.47,86.35,17.42,60.56,74.14,13.813995,78.052309,rabi,2022,1651.84,silt
Grapes,5.84,67.16,20.38,170.19,213.1,33.52,68.19,53.82,14.980396,77.548307,zaid,2023,23434.77,sandy
Blackgram,7.71,28.5,28.83,36.58,10.52,22.31,37.28,60.42,20.510213,75.715787,rabi,2022,900.64,loamy
Wheat,7.31,35.25,101.62,21.94,33.77,19.73,431.01,66.03,14.960667,77.135418,rabi,2022,2189.96,peat
Soybean,5.84,40.28,15.55,21.23,30.96,20.97,407.34,36.54,23.532862,75.624555,kharif,2023,1627.11,chalky
Soybean,6.07,72.14,29.89,30.59,66.37,29.49,673.8,65.96,29.610685,75.247062,kharif,2021,2860.06,sandy
Papaya,6.8,50.59,20.47,37.11,31.56,23.24,124.96,64.43,11.520373,78.642941,kharif,2022,23906.59,chalky
Muskmelon,6.16,81.67,115.95,27.49,57.86,32.82,26.58,68.1,13.91097,79.823247,zaid,2023,19333.25,peat
Muskmelon,6.32,77.15,148.51,23.45,58.75,30.68,20.01,71.95,19.888539,75.942009,zaid,2020,18717.17,silt
Chickpea,7.3,62.98,52.12,88.89,103.58,19.29,87.84,74.85,30.592587,78.489243,rabi,2023,1757.69,chalky
Mango,6.63,52.01,24.33,27.59,31.46,33.03,109.14,79.87,25.133766,87.399915,rabi,2022,11481.45,silt
Potato,5.25,71.83,129.86,66.33,164.42,21.2,649.91,65.19,14.564655,77.359081,zaid,2021,25917.14,clay
Papaya,5.4,55.88,25.85,40.87,39.76,19.88,90.52,57.97,21.98779,79.088301,kharif,2020,29848.48,peat
Chickpea,7.12,91.63,50.74,66.11,86.23,18.73,72.36,51.07,23.586723,75.844084,rabi,2020,1355.88,sandy
Mango,4.3,35.77,10.34,18.0,19.37,37.34,80.81,62.65,25.435731,79.095699,kharif,2020,5752.05,loamy
Banana,5.89,78.04,119.07,90.51,51.12,25.27,131.6,69.85,24.303744,85.656434,rabi,2021,41376.11,loamy
Onion,6.29,87.89,131.54,36.83,99.28,16.38,463.61,77.74,29.942537,79.476805,rabi,2021,21662.18,chalky
Pigeon Pea,7.43,37.51,15.63,15.16,19.49,15.56,414.67,66.84,28.96641,78.033204,kharif,2022,682.64,loamy
Banana,6.46,76.6,143.95,110.19,73.34,29.18,121.05,76.09,11.732475,79.097594,kharif,2020,34255.79,sandy
Muskmelon,6.32,76.94,111.47,24.18,70.04,30.1,22.67,56.53,25.983924,76.975251,zaid,2023,19307.0,silt
Watermelon,7.61,53.68,24.21,14.61,41.44,30.57,35.14,39.52,25.27593,76.082005,zaid,2022,20037.9,clay
Sugarcane,7.58,56.28,176.79,29.86,72.28,25.72,914.73,57.86,10.85847,78.000451,zaid,2021,45092.97,clay
Pigeon Pea,8.0,31.2,13.81,17.21,15.42,29.92,468.86,49.21,20.054851,72.43185,kharif,2021,629.25,peat
Banana,6.17,73.07,122.35,117.36,71.36,25.66,120.43,56.92,21.784062,86.287056,rabi,2023,35505.13,sandy
Jute,5.51,58.29,50.23,25.22,30.77,22.63,96.71,30.89,12.823842,76.500811,year_round,2023,1911.24,chalky
Muskmelon,6.23,73.94,109.62,28.94,74.11,28.73,27.85,70.91,25.324445,89.879159,zaid,2021,19212.41,peat
Pigeon Pea,7.98,30.36,12.39,15.1,18.46,33.26,367.26,33.79,20.41394,89.979012,rabi,2020,721.3,clay
Sugarcane,7.26,74.45,275.18,44.57,147.82,30.19,1334.93,62.94,22.565011,86.631692,zaid,2020,80632.85,silt
Grapes,5.62,72.63,22.05,176.51,280.89,30.13,66.06,52.08,13.025015,77.568511,rabi,2020,18709.94,clay
Lentil,4.72,22.59,11.76,31.55,15.91,21.66,21.67,39.05,23.097386,88.498532,rabi,2023,479.6,silt
Onion,6.97,79.33,132.89,38.47,117.32,19.31,551.86,71.38,24.805632,85.900793,kharif,2022,18659.18,peat
Wheat,6.6,75.17,147.72,44.21,53.83,20.06,652.86,50.54,21.557777,72.408851,rabi,2020,4114.69,peat
Tomato,6.81,86.9,139.62,46.11,144.16,24.82,463.05,54.0,18.769955,74.31397,zaid,2020,33240.8,silt
Jute,8.49,64.85,65.7,30.51,34.33,29.68,124.94,37.8,11.589815,76.46323,kharif,2023,2081.2,peat
Blackgram,7.89,37.01,25.36,41.14,17.42,21.8,38.37,49.82,11.910574,78.377638,zaid,2020,576.87,sandy
Orange,7.62,56.97,20.89,11.93,10.43,10.12,100.48,61.41,30.418839,76.876677,zaid,2023,23606.25,clay
Jute,5.27,59.97,59.11,23.96,32.34,18.22,117.38,49.66,12.186279,76.997271,rabi,2022,1841.9,loamy
Apple,6.05,76.67,23.84,172.13,290.83,21.94,119.42,63.06,12.492209,77.977257,zaid,2022,16148.0,peat
Onion,6.92,51.84,125.12,34.92,109.49,18.7,467.26,77.62,30.494077,74.378638,kharif,2023,19947.66,peat
Coconut,6.32,85.15,24.25,24.24,32.42,29.63,160.58,79.06,23.391671,74.709286,kharif,2020,10854.11,clay
Muskmelon,7.54,39.2,59.29,10.38,36.45,26.09,13.94,31.97,24.888612,77.961827,zaid,2023,14690.88,chalky
Papaya,6.87,69.59,56.51,61.26,59.69,31.19,158.33,79.13,21.282235,74.131543,kharif,2020,36426.04,clay
Apple,7.29,48.36,16.57,67.31,176.49,19.77,75.95,62.05,28.925313,76.004004,rabi,2020,7688.0,clay
Mothbeans,6.94,43.82,22.69,44.85,29.92,27.45,43.88,54.41,21.942391,74.929217,kharif,2023,805.3,chalky
Sugarcane,8.2,54.58,129.88,24.34,59.27,37.59,747.95,63.15,31.435267,78.061645,zaid,2022,55528.76,loamy
Chickpea,6.16,54.96,43.34,89.78,102.52,18.15,67.71,69.92,23.384514,74.624584,rabi,2022,1746.83,loamy
Cotton,5.75,45.97,68.99,12.13,39.5,17.0,359.65,60.49,30.085184,79.856083,kharif,2020,271.97,sandy
Orange,7.0,85.58,23.6,10.7,10.67,19.44,148.06,59.77,20.616886,77.187988,rabi,2022,23313.51,clay
Wheat,7.95,30.32,89.44,17.0,44.82,28.85,397.45,54.31,10.234727,77.536362,rabi,2021,1795.0,loamy
Jute,6.34,95.58,110.92,54.33,52.22,23.56,216.38,61.98,11.740638,78.487805,kharif,2022,2974.85,loamy
Pigeon Pea,5.28,34.09,11.31,10.27,16.69,19.48,400.64,31.01,13.984241,76.510273,kharif,2021,979.39,peat
Muskmelon,6.4,86.25,117.09,29.01,51.28,28.16,21.75,79.63,10.122324,77.450468,zaid,2021,16890.03,sandy
Maize,6.57,94.84,189.09,35.28,72.93,18.86,886.4,69.64,23.606616,73.406491,kharif,2020,3721.7,silt
Orange,6.37,93.91,21.23,10.3,10.09,30.23,128.39,79.96,23.930654,87.322873,rabi,2021,18913.02,clay
Mungbean,7.52,36.37,16.11,21.55,12.81,22.8,30.89,69.45,22.234404,88.881957,year_round,2020,708.57,loamy
Banana,7.37,60.8,78.2,48.47,29.44,21.57,66.26,49.71,21.677129,74.876786,rabi,2021,25374.34,clay
Mungbean,4.89,32.42,11.74,20.98,11.25,28.08,25.0,47.6,10.526209,79.075802,kharif,2022,741.02,clay
Orange,6.26,81.02,25.83,10.44,12.45,11.75,110.35,60.06,12.645107,77.528434,kharif,2020,20704.06,silt
Muskmelon,6.26,91.75,135.04,28.56,61.68,29.24,21.59,69.72,21.441473,81.696283,zaid,2023,20223.39,chalky
Blackgram,7.09,55.41,45.82,67.99,27.63,29.46,80.84,52.39,30.357505,78.105372,rabi,2021,1112.08,silt
Onion,8.26,41.41,76.03,22.38,45.62,23.74,356.79,38.06,20.255115,75.282179,zaid,2023,10049.99,sandy
Soybean,5.39,39.59,11.8,18.09,34.59,33.28,426.29,44.94,31.337716,78.998037,kharif,2020,1860.9,peat
Coffee,7.17,55.22,76.53,26.77,22.52,22.94,101.09,66.25,22.613195,81.761839,rabi,2021,454.64,clay
Watermelon,6.91,62.68,49.21,20.41,72.01,26.6,47.84,60.96,23.742509,75.594962,zaid,2021,26027.48,chalky
Tomato,6.13,96.28,129.52,58.99,172.78,27.92,441.66,60.66,24.204353,87.9451,zaid,2021,35447.98,clay
Onion,6.02,56.92,117.9,35.0,95.51,21.86,571.39,78.16,22.205194,75.422204,rabi,2022,20509.75,sandy
Coffee,8.15,50.61,83.7,25.91,18.53,22.82,94.79,54.28,10.467989,77.103075,zaid,2021,457.44,sandy
Mango,5.75,59.65,24.22,21.72,35.37,28.63,98.42,64.67,28.926068,79.699549,rabi,2020,9083.07,peat
Mothbeans,7.48,52.92,27.12,57.38,29.34,24.81,33.55,73.29,20.798362,73.221413,kharif,2022,823.01,sandy
Tomato,5.07,47.61,98.58,21.34,78.53,30.73,258.16,36.08,28.729832,79.791258,zaid,2023,19495.93,sandy
Chilli,6.51,76.67,101.23,36.1,111.03,29.96,560.11,75.37,19.240786,75.700258,rabi,2020,15147.51,loamy
Apple,7.96,49.88,11.09,94.55,163.85,17.18,77.49,54.47,31.044846,78.624636,zaid,2022,10983.08,chalky
Chilli,6.6,52.65,136.95,30.44,127.06,27.01,411.15,77.35,29.920734,76.915314,kharif,2020,16046.33,chalky
Chickpea,8.47,59.16,57.63,71.84,107.46,19.59,69.28,68.19,29.712077,77.949703,rabi,2022,1468.71,silt
Watermelon,6.35,73.99,40.87,24.0,53.26,26.37,52.53,63.36,21.714898,72.654839,zaid,2023,23074.4,silt
Kidneybeans,5.6,88.33,22.85,75.15,25.31,22.91,77.44,73.42,10.250323,79.494535,rabi,2021,1107.2,silt
Kidneybeans,6.33,35.88,11.5,51.83,14.16,14.56,44.82,44.33,21.463056,85.762871,rabi,2020,960.86,peat
Mungbean,6.81,87.8,25.34,42.82,20.26,28.2,47.44,59.11,12.950582,77.192167,zaid,2020,910.52,silt
Potato,5.21,61.27,129.64,58.87,153.9,19.23,521.14,68.21,21.267391,89.314984,zaid,2023,29145.7,loamy
Grapes,5.33,36.1,14.17,79.41,116.82,19.67,53.99,58.75,20.440668,76.987422,zaid,2020,11700.98,clay
Pomegranate,6.13,94.96,26.4,12.18,41.85,23.45,102.82,65.75,21.36162,72.338705,rabi,2023,14053.48,clay
Muskmelon,7.84,35.89,87.01,11.76,31.2,31.5,17.24,43.07,20.685002,72.656087,year_round,2022,11180.46,chalky
Kidneybeans,5.57,56.12,22.37,73.44,21.89,20.34,84.98,62.06,19.297806,75.228768,kharif,2021,1352.66,loamy
Blackgram,6.43,28.77,24.89,46.7,17.61,20.57,51.91,59.93,12.080255,76.689247,rabi,2022,594.6,sandy
Blackgram,7.44,78.53,51.09,78.01,29.77,25.31,81.71,77.16,13.356518,79.960767,kharif,2021,1019.92,sandy
Coffee,6.27,74.68,121.82,36.23,43.32,27.3,161.64,65.95,31.300121,78.415849,kharif,2023,847.22,chalky
Wheat,7.49,36.26,102.28,25.46,25.58,12.58,350.27,59.74,23.044806,75.044701,zaid,2021,2101.62,loamy
Jute,6.12,84.52,86.17,56.71,53.67,24.82,152.22,60.35,25.013532,86.903231,kharif,2023,2297.75,clay
Potato,5.19,97.94,109.98,57.35,167.78,24.45,652.49,77.74,23.539687,85.032176,rabi,2020,28293.87,sandy
Potato,6.24,51.04,54.01,25.33,114.7,13.26,335.07,30.95,28.925901,79.210457,rabi,2021,20606.56,sandy
Coffee,5.47,52.72,78.96,19.24,26.86,23.51,90.27,53.68,25.433054,87.207022,zaid,2020,481.94,loamy
Lentil,4.7,21.11,16.92,46.64,15.0,29.46,21.96,40.39,28.063098,78.94391,rabi,2023,726.82,clay
Coffee,5.74,50.16,74.17,20.36,21.36,20.65,116.34,52.22,22.355623,73.524941,zaid,2022,546.31,sandy
Banana,5.82,76.91,124.2,112.56,73.85,26.27,132.29,61.88,21.713526,88.267811,zaid,2023,38383.44,loamy
Soybean,5.63,40.06,10.52,23.29,36.45,22.27,399.03,56.78,30.388466,76.54511,kharif,2023,1640.85,clay
Mango,6.77,56.97,22.64,22.81,36.19,31.06,119.93,73.58,20.736403,72.154345,rabi,2021,9053.39,sandy
Sugarcane,7.18,98.24,260.11,59.81,116.26,33.72,1206.89,63.5,28.412485,77.286708,rabi,2020,83558.11,peat
Maize,5.77,78.37,189.39,33.86,63.21,21.08,888.88,64.51,29.494039,77.158995,kharif,2020,3734.77,chalky
Kidneybeans,5.77,55.52,20.88,60.79,27.91,18.41,61.92,55.39,12.467654,79.522674,rabi,2023,1223.01,peat
Pigeon Pea,7.92,35.33,14.57,13.48,19.98,32.15,509.99,40.0,11.848689,77.94423,kharif,2020,731.79,silt
Cotton,7.47,92.88,97.86,27.98,70.56,33.83,607.75,59.57,11.850262,76.109681,kharif,2023,508.95,sandy
Soybean,5.54,37.41,15.5,25.37,30.98,17.32,470.93,47.75,20.815065,73.470834,rabi,2022,1338.04,sandy
Grapes,6.51,96.94,22.42,164.87,240.19,32.15,70.15,65.06,24.02898,80.897165,zaid,2022,19502.4,clay
Muskmelon,6.21,62.18,131.43,29.15,50.9,29.36,25.02,62.89,22.973986,85.064092,zaid,2021,21333.49,clay
Watermelon,6.83,84.89,47.9,25.64,55.69,24.04,49.77,69.33,28.856339,77.751703,kharif,2022,26346.97,silt
Banana,5.47,63.79,51.34,55.45,30.96,29.03,66.26,46.32,23.989819,72.725948,rabi,2020,18974.69,silt
Potato,5.66,52.93,89.13,44.31,98.71,16.92,400.66,62.22,22.726419,88.900946,zaid,2023,21229.2,chalky
Lentil,6.57,53.71,24.48,69.28,25.02,27.08,44.52,76.31,21.429574,89.255459,rabi,2021,960.45,sandy
Onion,6.68,73.71,115.05,32.76,110.26,15.71,523.32,51.21,22.811342,76.035708,rabi,2023,23907.93,peat
Muskmelon,4.81,44.03,75.65,16.19,33.06,34.63,17.78,38.61,28.845019,75.127259,zaid,2023,11968.79,chalky
Rice,7.99,42.16,62.8,17.16,26.23,37.63,627.39,42.77,21.440627,74.527349,kharif,2022,1970.87,silt
Pigeon Pea,6.77,44.33,22.0,23.2,38.88,22.21,621.97,74.37,24.847628,85.949263,kharif,2022,1119.66,peat
Sugarcane,6.95,83.8,236.44,45.9,143.97,21.43,1696.05,51.43,24.626737,79.582555,rabi,2020,66183.5,clay
Mango,6.51,40.42,13.96,13.77,26.48,36.14,79.43,65.08,29.98412,76.086439,rabi,2020,6399.51,silt
Pomegranate,5.97,57.24,23.24,12.41,51.93,22.15,114.89,51.66,20.606906,88.961254,kharif,2020,14261.15,chalky
Blackgram,6.75,66.48,48.64,80.04,24.29,25.66,72.04,72.95,20.480983,73.694343,rabi,2022,1221.87,chalky
Chickpea,8.2,76.14,51.72,80.23,112.17,18.59,75.41,74.09,18.693107,75.877445,rabi,2022,1781.83,chalky
Pomegranate,8.23,35.18,14.27,6.35,30.53,22.49,61.7,36.8,22.232596,75.188307,kharif,2023,8863.04,silt
Chickpea,7.36,49.21,58.38,87.0,97.93,18.57,71.63,58.61,11.403549,79.997265,rabi,2020,1470.61,sandy
Cotton,5.38,35.42,66.95,14.39,29.39,21.15,362.42,60.38,12.929324,78.499135,year_round,2023,262.56,sandy
Mothbeans,6.74,81.08,20.15,57.8,22.45,28.87,42.88,79.75,22.940085,74.722415,kharif,2020,909.59,clay
Pomegranate,5.82,36.32,12.49,8.11,28.69,14.9,87.62,67.4,14.338094,77.465827,zaid,2022,6181.5,sandy
Muskmelon,6.28,61.55,108.83,26.1,56.59,30.79,25.93,66.36,22.568287,86.630117,zaid,2023,19685.88,silt
Apple,6.32,61.57,25.71,132.07,290.29,22.55,102.45,52.14,25.745939,80.758086,zaid,2021,16477.12,sandy
Grapes,5.05,35.17,17.76,75.22,172.37,31.36,47.25,51.0,22.334188,81.987385,zaid,2022,16835.55,sandy
Pomegranate,5.9,49.46,28.64,11.61,59.79,21.61,139.64,62.98,14.362066,78.533213,kharif,2020,14006.14,chalky
Wheat,6.2,31.91,102.96,25.32,34.15,15.46,371.5,31.78,14.04758,78.620968,rabi,2022,2424.8,sandy
Mothbeans,7.46,74.04,20.17,54.68,20.74,28.76,31.99,65.56,21.563801,76.140416,kharif,2023,800.84,clay
Rice,4.63,47.45,67.27,11.02,24.54,31.15,771.23,44.24,25.602151,75.052741,kharif,2021,1736.6,silt
Orange,7.83,47.14,13.9,8.41,5.79,9.47,65.25,36.69,25.505246,76.78578,kharif,2022,13871.26,sandy
Cotton,5.91,50.63,115.28,24.27,54.06,28.84,631.85,71.58,11.048765,77.516109,kharif,2023,596.02,peat
Muskmelon,6.49,80.43,115.98,27.44,63.3,30.75,29.65,67.15,10.533412,78.524661,zaid,2020,19269.08,peat
Watermelon,8.4,50.84,25.17,12.93,25.91,28.39,33.28,35.99,30.648509,74.947678,kharif,2023,20411.43,sandy
Banana,5.99,71.39,147.29,109.9,68.26,27.75,111.01,77.84,19.619001,73.645385,rabi,2021,34055.38,sandy
Grapes,6.09,89.59,24.99,186.92,210.86,23.42,66.19,55.57,20.430756,75.490082,rabi,2021,21148.25,sandy
Blackgram,6.78,52.4,52.8,78.23,21.53,31.22,63.85,57.96,21.962549,78.416421,rabi,2023,1300.58,silt
Apple,5.59,66.44,22.51,148.52,264.72,23.79,127.72,64.73,12.833007,76.089788,kharif,2022,17955.39,chalky
Coffee,4.97,53.24,68.84,18.68,25.49,30.87,90.8,57.7,23.671483,85.856822,zaid,2020,678.82,chalky
Jute,8.28,50.72,44.96,20.24,31.04,19.39,123.51,40.82,21.629796,79.244082,kharif,2022,1699.53,sandy
Cotton,6.12,85.45,113.54,23.56,70.67,23.48,626.86,70.32,25.798504,78.903962,kharif,2023,502.09,peat
Coconut,5.22,91.9,29.35,29.89,36.5,28.89,205.23,79.03,21.484349,74.767726,rabi,2021,11670.3,silt
Apple,7.04,49.53,13.13,106.26,125.93,24.11,66.97,58.75,13.076346,76.958031,rabi,2023,9949.68,peat
Mango,7.74,46.49,17.18,10.17,25.3,28.36,73.43,47.68,22.041904,86.612796,rabi,2022,6485.52,chalky
Pomegranate,8.04,36.42,14.26,6.74,26.2,16.73,82.03,60.3,25.766623,76.307841,zaid,2020,7475.37,clay
Blackgram,7.3,48.55,54.73,68.92,20.59,33.38,81.94,69.93,23.839584,80.405066,kharif,2022,1274.0,peat
Onion,6.68,89.45,113.71,42.42,109.59,14.43,428.11,58.59,24.488096,80.855716,kharif,2021,22226.01,peat
Muskmelon,6.1,89.19,114.38,29.83,59.34,31.13,28.64,71.11,28.747741,77.821661,zaid,2023,20230.88,peat
Muskmelon,6.96,40.63,75.92,16.9,30.86,26.88,14.17,30.88,21.088659,75.307573,zaid,2022,9479.44,chalky
Tomato,7.46,44.81,71.58,23.74,63.27,24.11,274.96,46.7,25.25543,81.337093,rabi,2020,20176.05,sandy
Mango,5.14,97.21,27.73,22.65,33.13,27.15,133.44,54.48,21.060561,79.14445,rabi,2021,10620.35,peat
Chickpea,7.39,78.36,52.17,87.81,106.6,20.15,63.49,60.8,25.53758,81.188527,rabi,2022,1553.44,sandy
Banana,5.87,91.72,120.23,102.15,73.45,27.75,124.67,61.13,12.053381,77.118646,kharif,2023,37902.1,clay
Orange,7.99,91.76,23.02,11.19,12.84,14.81,135.47,51.84,18.486449,75.656926,rabi,2023,20944.84,chalky
Pigeon Pea,8.0,33.72,16.96,11.01,23.13,27.0,448.45,58.88,20.649016,89.933484,kharif,2023,860.13,sandy
Orange,5.89,38.65,14.38,8.77,5.67,10.32,83.77,32.48,23.838178,77.853698,kharif,2022,14723.33,clay
Chickpea,9.0,23.67,31.59,39.69,46.87,15.98,39.17,59.73,20.687973,72.483118,kharif,2022,973.71,silt
Sugarcane,5.26,53.52,127.76,26.25,56.35,30.14,875.94,60.97,23.249879,80.307871,rabi,2020,42519.16,peat
Coconut,6.47,80.15,29.46,29.73,44.28,28.71,170.4,71.15,10.196797,78.267951,rabi,2022,11204.86,sandy
Coffee,6.23,88.07,146.65,42.46,37.49,25.83,181.16,59.93,22.993965,87.047606,zaid,2023,937.85,chalky
Mungbean,6.01,59.26,26.78,49.54,21.61,27.45,50.36,64.46,23.562126,88.198086,zaid,2020,1048.67,loamy
Banana,7.45,52.96,53.43,70.3,30.83,21.94,79.54,58.48,22.996427,87.373639,kharif,2022,18847.76,chalky
Chilli,6.01,60.41,146.06,44.64,111.11,27.54,450.68,76.85,29.40311,78.996162,kharif,2023,15720.33,loamy
Jute,6.12,90.22,86.82,57.04,57.36,24.33,194.83,56.09,28.013173,74.280599,kharif,2023,2483.34,clay
Apple,6.05,81.44,20.93,154.54,231.71,22.98,135.17,54.1,24.071252,89.445375,zaid,2022,15522.01,silt
Tomato,6.93,98.77,135.05,42.41,155.07,21.78,412.41,60.18,23.948613,89.988747,rabi,2021,31065.66,silt
Lentil,4.71,26.08,13.93,33.07,10.04,25.1,24.48,36.76,29.941013,78.708646,rabi,2023,602.93,silt
Onion,7.27,40.8,70.17,18.87,48.26,10.93,351.33,64.71,14.498715,78.513628,rabi,2020,13070.54,peat
Onion,6.58,55.33,128.55,34.99,92.62,17.4,419.9,73.0,14.850372,79.460284,rabi,2023,21604.75,clay
Wheat,6.78,89.0,141.53,43.16,59.81,19.39,594.24,63.88,30.990438,77.016322,rabi,2020,3393.82,sandy
Papaya,5.46,47.26,23.92,39.61,26.78,47.16,115.05,40.62,25.60598,88.901017,kharif,2022,29013.86,silt
Muskmelon,5.04,38.52,56.49,10.98,44.31,38.45,14.46,45.44,22.028537,77.11852,zaid,2022,14469.02,peat
Tomato,6.61,80.1,151.42,46.38,148.19,20.01,463.0,73.74,22.700817,73.108277,rabi,2020,35467.92,sandy
Pomegranate,5.79,41.1,21.21,13.14,40.0,20.73,134.57,70.85,24.146442,87.605481,zaid,2021,14316.95,peat
Maize,6.05,72.43,179.71,33.69,71.66,20.85,711.98,56.82,23.620692,88.341064,zaid,2021,4343.39,clay
Mothbeans,7.85,35.52,21.99,41.59,28.37,24.55,36.41,54.04,12.557182,77.760594,kharif,2021,842.98,loamy
Kidneybeans,7.51,29.56,13.92,37.47,16.97,14.13,48.37,44.1,29.009076,74.939884,kharif,2023,1000.22,chalky
Maize,6.2,70.27,212.7,27.95,83.28,25.22,789.76,61.19,25.126311,78.445945,zaid,2023,3896.68,peat
Watermelon,6.69,89.43,53.62,25.53,64.09,24.81,47.06,76.15,21.277857,74.810558,zaid,2022,29999.44,clay
Kidneybeans,5.99,66.08,22.63,67.64,27.72,18.31,65.36,72.96,23.399384,89.786568,kharif,2021,1194.54,sandy
Coconut,5.34,90.1,20.6,20.94,39.85,25.15,222.72,69.68,11.363621,78.632396,kharif,2023,10092.5,sandy
Potato,5.33,75.03,125.65,67.6,220.14,22.08,618.92,70.23,20.272715,79.526203,zaid,2022,24200.56,clay
Kidneybeans,5.85,40.71,24.09,86.29,22.98,18.01,77.34,61.28,23.274661,75.251027,rabi,2021,1319.33,peat
Potato,6.22,56.15,55.74,25.37,102.84,16.48,399.17,56.09,23.635982,80.946125,year_round,2020,12893.72,sandy
Soybean,6.66,77.68,22.36,31.47,64.4,21.88,616.87,52.42,21.404347,75.348467,kharif,2022,2451.38,clay
Pomegranate,7.45,34.35,11.61,8.1,31.4,19.58,87.27,68.78,28.892051,77.153786,kharif,2023,6383.25,clay
Mango,5.97,91.13,22.23,28.47,37.38,30.25,134.31,73.11,21.085959,73.894765,rabi,2022,11266.36,sandy
Banana,6.37,82.65,146.47,93.44,51.68,26.97,134.39,62.93,29.461509,76.381558,zaid,2020,40126.17,clay
Onion,6.2,69.36,139.9,41.08,82.55,16.39,460.9,79.49,23.859706,73.508807,kharif,2022,22811.04,clay
Potato,4.0,55.31,62.18,28.96,78.94,18.4,374.53,66.68,23.39252,78.095766,zaid,2021,19475.6,clay
Jute,5.34,55.77,45.57,22.8,30.02,18.67,131.41,46.2,19.572563,75.635309,kharif,2022,2081.4,peat
Mothbeans,8.72,25.75,12.73,28.67,15.4,26.4,23.0,41.39,10.85847,76.410138,rabi,2023,571.53,peat
Maize,6.05,60.59,178.98,32.06,65.75,23.82,826.28,68.58,29.721349,75.023989,kharif,2023,3689.56,chalky
Tomato,6.94,85.03,130.46,49.43,125.49,23.51,481.47,65.64,28.785177,74.135387,rabi,2022,34754.98,sandy
Potato,6.12,55.13,54.88,27.22,113.89,25.81,321.17,51.82,21.938315,74.140609,kharif,2023,13217.71,peat
Soybean,5.52,39.21,15.36,17.25,37.5,19.22,416.37,37.15,20.234472,88.192719,kharif,2020,1294.27,loamy
Mothbeans,7.72,91.42,27.03,49.06,22.43,28.46,43.5,74.55,24.844226,79.449154,kharif,2021,792.89,loamy
Pomegranate,5.75,96.15,23.86,12.65,51.98,23.44,107.6,55.23,30.824489,79.918177,rabi,2020,12679.28,silt
Onion,6.85,67.14,119.86,33.68,112.49,14.34,514.08,67.45,21.441317,87.218857,kharif,2021,19694.21,peat
Cotton,7.89,52.56,112.85,20.02,65.91,24.61,514.88,68.11,11.283471,78.661168,kharif,2023,570.05,sandy
Banana,5.77,75.52,117.24,105.96,72.07,29.2,95.47,56.45,28.563247,79.503819,kharif,2020,36324.11,loamy
Watermelon,8.06,54.86,23.72,17.05,35.75,22.52,33.07,52.98,10.919552,77.436694,year_round,2021,15854.33,clay
Kidneybeans,5.55,56.35,28.13,61.17,26.59,23.72,74.55,59.17,22.291748,87.821505,rabi,2022,1121.23,peat
Sugarcane,6.65,92.89,290.38,56.92,120.05,32.35,1733.33,66.34,21.531854,77.069863,kharif,2021,75469.85,silt
